
EPOCH 0 | Train loss: 0.3977
EPOCH 0 | Validtation loss: 0.3955
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.382
EPOCH 1 | Validtation loss: 0.3852
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.3842
EPOCH 2 | Validtation loss: 0.3814
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.3818
EPOCH 3 | Validtation loss: 0.3805
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.3828
EPOCH 4 | Validtation loss: 0.3877
EPOCH 4 | Current learning rate: 0.001
EPOCH 5 | Train loss: 0.3979
EPOCH 5 | Validtation loss: 0.3848
EPOCH 5 | Current learning rate: 0.001
EPOCH 6 | Train loss: 0.3777
EPOCH 6 | Validtation loss: 0.3861
EPOCH 6 | Current learning rate: 0.001
EPOCH 7 | Train loss: 0.4616
EPOCH 7 | Validtation loss: 0.3763
EPOCH 7 | Current learning rate: 0.001
EPOCH 8 | Train loss: 0.3784
EPOCH 8 | Validtation loss: 0.3899
EPOCH 8 | Current learning rate: 0.001
EPOCH 9 | Train loss: 0.381
EPOCH 9 | Validtation loss: 0.3903
EPOCH 9 | Current learning rate: 0.001
EPOCH 0 | Train loss: 0.3977
EPOCH 0 | Validtation loss: 0.3955
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.382
EPOCH 1 | Validtation loss: 0.3852
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.3842
EPOCH 2 | Validtation loss: 0.3814
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.3818
EPOCH 3 | Validtation loss: 0.3805
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.3828
EPOCH 4 | Validtation loss: 0.3877
EPOCH 4 | Current learning rate: 0.001
EPOCH 5 | Train loss: 0.3979
EPOCH 5 | Validtation loss: 0.3848
EPOCH 5 | Current learning rate: 0.001
EPOCH 6 | Train loss: 0.3777
EPOCH 6 | Validtation loss: 0.3861
EPOCH 6 | Current learning rate: 0.001
EPOCH 7 | Train loss: 0.4616
EPOCH 7 | Validtation loss: 0.3763
EPOCH 7 | Current learning rate: 0.001
EPOCH 8 | Train loss: 0.3784
EPOCH 8 | Validtation loss: 0.3899
EPOCH 8 | Current learning rate: 0.001
EPOCH 9 | Train loss: 0.381
EPOCH 9 | Validtation loss: 0.3903
EPOCH 9 | Current learning rate: 0.001
