
EPOCH 0 | Train loss: 1.3123
EPOCH 0 | Validtation loss: 1.3964
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 1.2665
EPOCH 1 | Validtation loss: 1.3973
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 1.2162
EPOCH 2 | Validtation loss: 1.3119
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 1.0638
EPOCH 3 | Validtation loss: 1.1967
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.9513
EPOCH 4 | Validtation loss: 1.0929
EPOCH 4 | Current learning rate: 0.001
EPOCH 5 | Train loss: 0.8789
EPOCH 5 | Validtation loss: 1.076
EPOCH 5 | Current learning rate: 0.001
EPOCH 6 | Train loss: 0.8527
EPOCH 6 | Validtation loss: 1.0457
EPOCH 6 | Current learning rate: 0.001
EPOCH 7 | Train loss: 0.7865
EPOCH 7 | Validtation loss: 1.0429
EPOCH 7 | Current learning rate: 0.001
EPOCH 8 | Train loss: 0.7431
EPOCH 8 | Validtation loss: 1.0168
EPOCH 8 | Current learning rate: 0.001
EPOCH 9 | Train loss: 0.7117
EPOCH 9 | Validtation loss: 1.0285
EPOCH 9 | Current learning rate: 0.001
EPOCH 10 | Train loss: 0.6902
EPOCH 10 | Validtation loss: 1.0208
EPOCH 10 | Current learning rate: 0.001
EPOCH 11 | Train loss: 0.6407
EPOCH 11 | Validtation loss: 1.072
EPOCH 11 | Current learning rate: 0.001
EPOCH 12 | Train loss: 0.6221
EPOCH 12 | Validtation loss: 0.9931
EPOCH 12 | Current learning rate: 0.001
EPOCH 13 | Train loss: 0.5848
EPOCH 13 | Validtation loss: 0.9876
EPOCH 13 | Current learning rate: 0.001
EPOCH 14 | Train loss: 0.5661
EPOCH 14 | Validtation loss: 0.991
EPOCH 14 | Current learning rate: 0.001
EPOCH 15 | Train loss: 0.536
EPOCH 15 | Validtation loss: 0.9716
EPOCH 15 | Current learning rate: 0.001
EPOCH 16 | Train loss: 0.5241
EPOCH 16 | Validtation loss: 0.9859
EPOCH 16 | Current learning rate: 0.001
EPOCH 17 | Train loss: 0.4983
EPOCH 17 | Validtation loss: 0.9895
EPOCH 17 | Current learning rate: 0.001
EPOCH 18 | Train loss: 0.4913
EPOCH 18 | Validtation loss: 0.9848
EPOCH 18 | Current learning rate: 0.001
EPOCH 19 | Train loss: 0.4596
EPOCH 19 | Validtation loss: 1.0077
EPOCH 19 | Current learning rate: 0.001
EPOCH 20 | Train loss: 0.4439
EPOCH 20 | Validtation loss: 0.984
EPOCH 20 | Current learning rate: 0.001
EPOCH 21 | Train loss: 0.4358
EPOCH 21 | Validtation loss: 0.9886
