
EPOCH 0 | Train loss: 0.4975
EPOCH 0 | Validtation loss: 0.4085
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.4407
EPOCH 1 | Validtation loss: 0.4121
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.4203
EPOCH 2 | Validtation loss: 0.3853
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.4183
EPOCH 3 | Validtation loss: 0.4201
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.4252
EPOCH 4 | Validtation loss: 0.3966
EPOCH 4 | Current learning rate: 0.001
EPOCH 0 | Train loss: 0.4975
EPOCH 0 | Validtation loss: 0.4085
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.4407
EPOCH 1 | Validtation loss: 0.4121
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.4203
EPOCH 2 | Validtation loss: 0.3853
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.4183
EPOCH 3 | Validtation loss: 0.4201
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.4252
EPOCH 4 | Validtation loss: 0.3966
EPOCH 4 | Current learning rate: 0.001
